Timestamp,Mean_Rate,Min_Rate,Max_Rate
2025-07-26 11:42:40,90.41,88.24,93.75
2025-07-26 11:42:50,86.65,80.54,93.02
2025-07-26 11:43:00,85.41,78.95,90.91
2025-07-26 11:43:10,88.55,83.33,93.75
2025-07-26 11:43:20,88.8,83.33,94.49
2025-07-26 11:43:30,86.65,81.08,91.6
2025-07-26 11:43:40,83.74,77.42,90.23
2025-07-26 11:43:50,88.48,83.33,93.75
2025-07-26 11:44:00,88.05,84.51,93.62
2025-07-26 11:44:10,89.48,83.33,95.24
2025-07-26 11:44:20,88.7,85.11,92.31
2025-07-26 11:44:30,87.96,81.08,93.02
2025-07-26 11:44:40,89.89,85.11,95.24
2025-07-26 11:44:50,92.11,88.89,94.49
2025-07-26 11:45:00,91.32,87.59,95.24
2025-07-26 11:45:10,94.0,91.26,97.56
2025-07-26 11:45:20,92.44,88.89,99.17
2025-07-26 11:45:30,93.26,88.89,98.36
2025-07-26 11:45:40,92.49,88.24,98.36
2025-07-26 11:45:50,91.05,86.33,95.24
2025-07-26 11:46:00,90.2,86.33,96.0
2025-07-26 11:46:10,93.23,86.96,96.0
2025-07-26 11:46:20,91.39,87.59,94.49
2025-07-26 11:46:30,98.82,93.54,109.09
2025-07-26 11:46:40,99.27,92.31,105.26
2025-07-26 11:46:50,99.37,93.75,105.26
2025-07-26 11:47:00,98.72,96.0,104.35
2025-07-26 11:47:10,100.79,96.77,109.09
2025-07-26 11:47:20,98.72,94.36,102.56
2025-07-26 11:47:30,97.21,92.31,102.56
2025-07-26 11:47:40,97.43,93.75,101.69
